name,hexadecimal,rgb_red,rgb_green,rgb_blue,hsv_hue,hsv_satur,hsv_value
Gold Fusion,#85754E,133,117,78,43,41,52
Golden brown,#996515,153,101,21,36,86,60
Golden poppy,#FCC200,252,194,0,46,100,99
Golden yellow,#FFDF00,255,223,0,52,100,100
Goldenrod,#DAA520,218,165,32,43,85,85
Granite Gray,#676767,103,103,103,0,0,40
Granny Smith Apple,#A8E4A0,168,228,160,113,30,89
Grape,#6F2DA8,111,45,168,272,73,66
Gray,#808080,128,128,128,0,0,50
Gray (HTML/CSS gray),#808080,128,128,128,0,0,50
Gray (X11 gray),#BEBEBE,190,190,190,0,0,75
Gray-asparagus,#465945,70,89,69,117,22,35
Gray-blue,#8C92AC,140,146,172,229,19,67
Green (Color Wheel) (X11 green),#00FF00,0,255,0,120,100,100
Green (Crayola),#1CAC78,28,172,120,158,84,67
Green (HTML/CSS color),#008000,0,128,0,120,100,50
Green (Munsell),#00A877,0,168,119,163,100,66
Green (NCS),#009F6B,0,159,107,160,100,62
Green (Pantone),#00AD43,0,173,67,143,100,68
Green (pigment),#00A550,0,165,80,149,100,65
Green (RYB),#66B032,102,176,50,95,72,69
Green-blue,#1164B4,17,100,180,209,91,71
Green-cyan,#009966,0,153,102,160,100,60
Green Lizard,#A7F432,167,244,50,84,80,96
Green Sheen,#6EAEA1,110,174,161,168,37,68
Green-yellow,#ADFF2F,173,255,47,84,82,100
Grizzly,#885818,136,88,24,34,82,53
Grullo,#A99A86,169,154,134,34,21,66
Guppie green,#00FF7F,0,255,127,150,100,100
Gunmetal,#2a3439,42,52,57,200,15,19
Halayà úbe,#663854,102,56,84,323,45,40
Han blue,#446CCF,68,108,207,223,67,81
Han purple,#5218FA,82,24,250,255,90,98
Hansa yellow,#E9D66B,233,214,107,51,54,91
Harlequin,#3FFF00,63,255,0,105,100,100
Harlequin green,#46CB18,70,203,24,105,88,80
Harvard crimson,#C90016,201,0,22,353,100,79
Harvest gold,#DA9100,218,145,0,40,100,85
Heart Gold,#808000,128,128,0,60,100,50
Heat Wave,#FF7A00,255,122,0,29,100,100
Heliotrope,#DF73FF,223,115,255,286,55,100
Heliotrope gray,#AA98A9,170,152,169,303,11,67
Heliotrope magenta,#AA00BB,170,0,187,295,100,73
Hollywood cerise,#F400A1,244,0,161,320,100,96
Honeydew,#F0FFF0,240,255,240,120,6,100
Honolulu blue,#006DB0,0,109,176,203,100,69
Hooker's green,#49796B,73,121,107,163,40,47
Hot magenta,#FF1DCE,255,29,206,313,89,100
Hot pink,#FF69B4,255,105,180,330,59,100
Hunter green,#355E3B,53,94,59,129,44,37
Iceberg,#71A6D2,113,166,210,207,46,82
Icterine,#FCF75E,252,247,94,58,63,99
Illuminating Emerald,#319177,49,145,119,164,66,57
Imperial,#602F6B,96,47,107,289,56,42
Imperial blue,#002395,0,35,149,226,100,58
Imperial purple,#66023C,102,2,60,325,98,40
Imperial red,#ED2939,237,41,57,355,83,93
